,draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2,num1%3,num1/3,num2%3,num2/3,num3%3,num3/3,num4%3,num4/3,num5%3,num5/3,num6%3,num6/3,num7%3,num7/3,sup1%3,sup1/3,sup2%3,sup2/3
175,784,20090224,41,13,30,2,45,28,34,3,9,2,2,1,0,0,1,2,0,0,2,1,1,1,2,0,0,0,0
176,785,20090303,8,29,11,33,3,35,26,6,12,2,0,2,1,2,0,0,2,0,0,2,2,2,1,0,0,0,0
177,786,20090310,24,38,29,16,14,13,28,26,9,0,1,2,2,2,1,1,1,2,0,1,0,1,1,2,1,0,0
178,787,20090317,32,6,16,23,27,25,37,40,26,2,2,0,0,1,1,2,1,0,1,1,1,1,2,1,2,2,1
179,788,20090324,37,4,16,27,17,33,35,20,10,1,2,1,0,1,1,0,1,2,1,0,2,2,2,2,1,1,0
180,789,20090331,5,13,44,8,41,15,35,3,17,2,0,1,0,2,2,2,0,2,2,0,0,2,2,0,0,2,1
181,790,20090407,12,26,13,7,35,21,41,6,25,0,0,2,1,1,0,1,0,2,2,0,1,2,2,0,0,1,1
182,791,20090414,33,11,27,20,5,28,1,38,34,0,2,2,0,0,1,2,1,2,0,1,1,1,0,2,2,1,2
183,792,20090421,43,21,22,18,16,20,32,40,9,1,2,0,1,1,1,0,1,1,1,2,1,2,2,1,2,0,0
184,793,20090428,24,43,21,25,1,13,36,33,6,0,1,1,2,0,1,1,1,1,0,1,0,0,2,0,2,0,0
185,794,20090505,12,31,6,42,24,10,20,11,26,0,0,1,2,0,0,0,2,0,1,1,0,2,1,2,0,2,1
186,795,20090512,7,2,32,25,28,40,35,16,21,1,0,2,0,2,2,1,1,1,1,1,2,2,2,1,1,0,1
187,796,20090519,11,22,18,17,25,21,12,28,35,2,0,1,1,0,1,2,1,1,1,0,1,0,0,1,1,2,2
188,797,20090526,19,5,20,41,44,18,43,40,39,1,1,2,0,2,1,2,2,2,2,0,1,1,2,1,2,0,2
189,798,20090602,3,45,32,43,22,20,33,6,34,0,0,0,2,2,2,1,2,1,1,2,1,0,2,0,0,1,2
190,799,20090609,19,44,34,28,30,40,3,27,16,1,1,2,2,1,2,1,1,0,1,1,2,0,0,0,1,1,1
191,800,20090616,29,24,7,32,41,1,22,36,17,2,1,0,1,1,0,2,2,2,2,1,0,1,1,0,2,2,1
192,801,20090623,31,23,40,9,15,21,18,3,19,1,2,2,1,1,2,0,0,0,0,0,1,0,1,0,0,1,1
193,802,20090630,12,3,38,21,23,29,40,43,22,0,0,0,0,2,2,0,1,2,1,2,1,1,2,1,2,1,1
194,803,20090707,8,35,31,1,34,26,44,42,19,2,0,2,2,1,2,1,0,1,2,2,1,2,2,0,2,1,1
195,804,20090714,33,19,9,34,8,27,2,18,40,0,2,1,1,0,0,1,2,2,0,0,1,2,0,0,1,1,2
196,805,20090721,44,1,7,34,16,12,4,43,6,2,2,1,0,1,0,1,2,1,1,0,0,1,0,1,2,0,0
197,806,20090728,35,11,43,15,3,10,6,29,13,2,2,2,0,1,2,0,0,0,0,1,0,0,0,2,1,1,0
198,807,20090804,22,39,25,2,13,42,11,41,12,1,1,0,2,1,1,2,0,1,0,0,2,2,0,2,2,0,0
199,808,20090811,43,8,6,17,40,29,41,4,9,1,2,2,0,0,0,2,1,1,2,2,1,2,2,1,0,0,0
200,809,20090818,19,41,20,34,36,24,16,28,44,1,1,2,2,2,1,1,2,0,2,0,1,1,1,1,1,2,2
201,810,20090825,17,41,24,16,39,5,11,22,30,2,1,2,2,0,1,1,1,0,2,2,0,2,0,1,1,0,1
202,811,20090901,45,16,37,42,28,9,29,33,44,0,2,1,1,1,2,0,2,1,1,0,0,2,1,0,2,2,2
203,812,20090908,3,2,21,20,24,7,35,1,19,0,0,2,0,0,1,2,1,0,1,1,0,2,2,1,0,1,1
204,813,20090915,35,27,15,7,19,43,13,36,6,2,2,0,1,0,0,1,0,1,1,1,2,1,0,0,2,0,0
205,814,20090922,24,19,18,26,20,7,21,23,44,0,1,1,1,0,1,2,1,2,1,1,0,0,1,2,1,2,2
206,815,20090929,12,27,36,35,7,28,25,24,37,0,0,0,1,0,2,2,2,1,0,1,1,1,1,0,1,1,2
207,816,20091006,28,34,45,22,17,5,12,18,27,1,1,1,2,0,2,1,1,2,1,2,0,0,0,0,1,0,1
208,817,20091013,10,27,44,39,14,26,30,7,15,1,0,0,1,2,2,0,2,2,0,2,1,0,1,1,0,0,0
209,818,20091020,25,36,24,27,38,32,6,26,23,1,1,0,2,0,1,0,1,2,2,2,2,0,0,2,1,2,1
210,819,20091027,42,45,20,4,43,7,25,27,37,0,2,0,2,2,1,1,0,1,2,1,0,1,1,0,1,1,2
211,820,20091103,15,4,7,2,36,17,6,25,9,0,0,1,0,1,0,2,0,0,2,2,1,0,0,1,1,0,0
212,821,20091110,1,24,16,31,36,25,35,21,28,1,0,0,1,1,1,1,2,0,2,1,1,2,2,0,1,1,1
213,822,20091117,27,4,33,6,34,25,31,19,41,0,1,1,0,0,2,0,0,1,2,1,1,1,2,1,1,2,2
214,823,20091124,7,31,22,36,39,24,23,34,9,1,0,1,2,1,1,0,2,0,2,0,1,2,1,1,2,0,0
215,824,20091201,10,2,24,8,27,28,18,25,36,1,0,2,0,0,1,2,0,0,1,1,1,0,1,1,1,0,2
216,825,20091208,35,42,7,34,11,29,45,3,4,2,2,0,2,1,0,1,2,2,0,2,1,0,2,0,0,1,0
217,826,20091215,29,7,22,37,12,28,32,34,36,2,1,1,0,1,1,1,2,0,0,1,1,2,2,1,2,0,2
218,827,20091222,44,2,1,45,20,35,36,26,6,2,2,2,0,1,0,0,2,2,1,2,2,0,2,2,1,0,0
219,828,20091229,22,12,13,6,28,27,33,23,16,1,1,0,0,1,0,0,0,1,1,0,1,0,2,2,1,1,1
220,829,20100105,11,26,39,3,35,10,6,25,32,2,0,2,1,0,2,0,0,2,2,1,0,0,0,1,1,2,2
221,830,20100112,18,40,31,37,33,23,14,22,42,0,1,1,2,1,2,1,2,0,2,2,1,2,0,1,1,0,2
222,831,20100119,38,18,7,33,37,20,40,30,14,2,2,0,1,1,0,0,2,1,2,2,1,1,2,0,1,2,0
223,832,20100126,21,17,37,44,32,40,38,1,36,0,1,2,1,1,2,2,2,2,2,1,2,2,2,1,0,0,2
224,833,20100202,28,32,38,19,29,22,34,17,5,1,1,2,2,2,2,1,1,2,1,1,1,1,2,2,1,2,0
225,834,20100209,42,44,5,18,24,23,28,32,15,0,2,2,2,2,0,0,1,0,1,2,1,1,1,2,2,0,0
226,835,20100216,21,44,26,20,19,37,1,39,4,0,1,2,2,2,1,2,1,1,1,1,2,1,0,0,2,1,0
227,836,20100223,22,34,17,14,35,2,8,23,10,1,1,1,2,2,1,2,0,2,2,2,0,2,0,2,1,1,0
228,837,20100302,2,1,24,26,19,43,37,18,31,2,0,1,0,0,1,2,1,1,1,1,2,1,2,0,1,1,2
229,838,20100309,8,43,44,25,42,45,39,5,26,2,0,1,2,2,2,1,1,0,2,0,2,0,2,2,0,2,1
230,839,20100316,27,2,31,3,38,37,13,12,36,0,1,2,0,1,2,0,0,2,2,1,2,1,0,0,0,0,2
231,840,20100323,6,9,44,26,23,14,30,40,24,0,0,0,0,2,2,2,1,2,1,2,0,0,1,1,2,0,1
232,841,20100330,40,39,28,29,25,2,35,31,14,1,2,0,2,1,1,2,1,1,1,2,0,2,2,1,2,2,0
233,842,20100406,41,15,2,43,36,11,39,25,42,2,2,0,0,2,0,1,2,0,2,2,0,0,2,1,1,0,2
234,843,20100413,19,21,20,22,17,33,23,26,32,1,1,0,1,2,1,1,1,2,1,0,2,2,1,2,1,2,2
235,844,20100420,30,39,9,11,44,17,1,13,15,0,1,0,2,0,0,2,0,2,2,2,1,1,0,1,0,0,0
236,845,20100427,4,12,42,22,18,3,6,35,37,1,0,0,0,0,2,1,1,0,1,0,0,0,0,2,2,1,2
237,846,20100504,28,19,18,14,5,20,16,36,34,1,1,1,1,0,1,2,0,2,0,2,1,1,1,0,2,1,2
238,847,20100511,15,27,45,7,13,18,10,3,29,0,0,0,1,0,2,1,0,1,0,0,1,1,0,0,0,2,1
239,848,20100518,27,13,18,38,42,33,22,29,40,0,1,1,0,0,1,2,2,0,2,0,2,1,1,2,1,1,2
240,849,20100525,44,15,28,36,25,24,37,26,7,2,2,0,0,1,1,0,2,1,1,0,1,1,2,2,1,1,0
241,850,20100601,16,6,18,30,40,15,14,20,23,1,1,0,0,0,1,0,1,1,2,0,0,2,0,2,1,2,1
242,851,20100608,43,15,5,26,21,40,35,12,37,1,2,0,0,2,0,2,1,0,1,1,2,2,2,0,0,1,2
243,852,20100615,32,8,15,29,10,38,18,3,39,2,2,2,0,0,0,2,1,1,0,2,2,0,1,0,0,0,2
244,853,20100622,29,3,41,14,23,6,2,10,35,2,1,0,0,2,2,2,0,2,1,0,0,2,0,1,0,2,2
245,854,20100629,1,34,21,31,17,22,45,7,40,1,0,1,2,0,1,1,2,2,1,1,1,0,2,1,0,1,2
246,855,20100706,19,9,30,45,40,34,29,6,33,1,1,0,0,0,1,0,2,1,2,1,2,2,1,0,0,0,2
247,856,20100713,16,27,39,6,31,13,23,1,45,1,1,0,1,0,2,0,0,1,2,1,0,2,1,1,0,0,2
248,857,20100720,5,6,23,7,13,3,34,2,19,2,0,0,0,2,1,1,0,1,0,0,0,1,2,2,0,1,1
249,858,20100727,40,30,26,1,19,12,8,6,28,1,2,0,1,2,1,1,0,1,1,0,0,2,0,0,0,1,1
250,859,20100803,41,19,27,3,15,40,31,28,45,2,2,1,1,0,1,0,0,0,0,1,2,1,2,1,1,0,2
251,860,20100810,11,16,28,25,22,21,41,39,14,2,0,1,1,1,1,1,1,1,1,0,1,2,2,0,2,2,0
252,861,20100817,44,30,15,2,17,3,23,5,14,2,2,0,1,0,0,2,0,2,1,0,0,2,1,2,0,2,0
253,862,20100824,2,33,12,19,4,44,17,20,5,2,0,0,2,0,0,1,1,1,0,2,2,2,1,2,1,2,0
254,863,20100831,16,40,8,13,30,33,23,24,3,1,1,1,2,2,0,1,0,0,1,0,2,2,1,0,1,0,0
255,864,20100907,40,27,28,34,8,44,3,6,23,1,2,0,1,1,1,1,2,2,0,2,2,0,0,0,0,2,1
256,865,20100914,25,34,41,18,24,29,23,38,37,1,1,1,2,2,2,0,1,0,1,2,1,2,1,2,2,1,2
257,866,20100921,16,38,9,8,44,35,39,17,40,1,1,2,2,0,0,2,0,2,2,2,2,0,2,2,1,1,2
258,867,20100928,33,32,15,26,40,6,25,14,42,0,2,2,2,0,0,2,1,1,2,0,0,1,1,2,0,0,2
259,868,20101005,27,8,23,26,3,41,29,1,13,0,1,2,0,2,1,2,1,0,0,2,2,2,1,1,0,1,0
260,869,20101012,22,37,38,4,1,40,7,9,42,1,1,1,2,2,2,1,0,1,0,1,2,1,0,0,0,0,2
261,870,20101019,13,35,8,27,45,38,19,44,23,1,0,2,2,2,0,0,1,0,2,2,2,1,1,2,2,2,1
262,871,20101026,36,20,32,8,40,6,44,28,1,0,2,2,1,2,2,2,0,1,2,0,0,2,2,1,1,1,0
263,872,20101102,32,14,30,43,23,38,11,19,12,2,2,2,0,0,1,1,2,2,1,2,2,2,0,1,1,0,0
264,873,20101109,25,4,10,35,27,39,36,6,16,1,1,1,0,1,0,2,2,0,1,0,2,0,2,0,0,1,1
265,874,20101116,12,33,38,36,28,43,26,14,11,0,0,0,2,2,2,0,2,1,1,1,2,2,1,2,0,2,0
266,875,20101123,5,20,22,43,45,7,2,14,24,2,0,2,1,1,1,1,2,0,2,1,0,2,0,2,0,0,1
267,876,20101130,26,7,8,22,39,25,20,40,38,2,1,1,0,2,0,1,1,0,2,1,1,2,1,1,2,2,2
268,877,20101207,1,19,40,23,36,27,25,7,24,1,0,1,1,1,2,2,1,0,2,0,1,1,1,1,0,0,1
269,878,20101214,28,22,38,12,34,33,5,40,13,1,1,1,1,2,2,0,0,1,2,0,2,2,0,1,2,1,0
270,879,20101221,26,13,38,8,35,42,7,16,2,2,1,1,0,2,2,2,0,2,2,0,2,1,0,1,1,2,0
271,880,20101228,35,6,37,22,43,36,14,20,10,2,2,0,0,1,2,1,1,1,2,0,2,2,0,2,1,1,0
272,881,20110104,3,4,45,40,24,33,39,20,13,0,0,1,0,0,2,1,2,0,1,0,2,0,2,2,1,1,0
273,882,20110111,34,28,27,33,9,12,17,14,20,1,2,1,1,0,1,0,2,0,0,0,0,2,1,2,0,2,1
274,883,20110118,38,19,2,36,14,21,4,35,8,2,2,1,1,2,0,0,2,2,0,0,1,1,0,2,2,2,0
275,884,20110125,28,17,30,41,5,16,34,26,9,1,1,2,1,0,1,2,2,2,0,1,1,1,2,2,1,0,0
276,885,20110201,23,33,37,34,27,38,11,14,4,2,1,0,2,1,2,1,2,0,1,2,2,2,0,2,0,1,0
277,886,20110208,41,18,14,26,30,15,23,43,5,2,2,0,1,2,0,2,1,0,1,0,0,2,1,1,2,2,0
278,887,20110215,29,20,7,11,32,37,41,33,9,2,1,2,1,1,0,2,0,2,2,1,2,2,2,0,2,0,0
279,888,20110222,39,26,5,18,2,16,28,15,31,0,2,2,1,2,0,0,1,2,0,1,1,1,1,0,0,1,2
280,889,20110301,38,8,20,33,12,16,14,43,41,2,2,2,0,2,1,0,2,0,0,1,1,2,0,1,2,2,2
281,890,20110308,20,7,13,28,16,36,29,6,45,2,1,1,0,1,0,1,1,1,1,0,2,2,1,0,0,0,2
282,891,20110315,26,15,25,8,41,28,16,24,35,2,1,0,0,1,1,2,0,2,2,1,1,1,1,0,1,2,2
283,892,20110322,44,16,13,37,39,10,15,24,40,2,2,1,1,1,0,1,2,0,2,1,0,0,0,0,1,1,2
284,893,20110329,41,17,25,24,27,3,34,43,45,2,2,2,1,1,1,0,1,0,1,0,0,1,2,1,2,0,2
285,894,20110405,18,42,24,45,43,21,40,10,44,0,1,0,2,0,1,0,2,1,2,0,1,1,2,1,0,2,2
286,895,20110412,41,5,13,40,9,18,29,19,14,2,2,2,0,1,0,1,2,0,0,0,1,2,1,1,1,2,0
287,896,20110419,35,11,20,43,19,9,45,27,37,2,2,2,0,2,1,1,2,1,1,0,0,0,2,0,1,1,2
288,897,20110426,44,29,42,36,22,25,41,21,16,2,2,2,1,0,2,0,2,1,1,1,1,2,2,0,1,1,1
289,898,20110503,36,42,45,34,19,10,40,8,7,0,2,0,2,0,2,1,2,1,1,1,0,1,2,2,0,1,0
290,899,20110510,12,35,34,17,15,30,37,4,5,0,0,2,2,1,2,2,1,0,0,0,1,1,2,1,0,2,0
291,900,20110517,11,10,14,33,39,29,26,42,21,2,0,1,0,2,0,0,2,0,2,2,1,2,1,0,2,0,1
292,901,20110524,24,7,21,40,9,15,25,3,38,0,1,1,0,0,1,1,2,0,0,0,0,1,1,0,0,2,2
293,902,20110531,25,33,4,36,45,41,43,19,21,1,1,0,2,1,0,0,2,0,2,2,2,1,2,1,1,0,1
294,903,20110607,17,15,28,8,41,9,7,6,25,2,1,0,0,1,1,2,0,2,2,0,0,1,0,0,0,1,1
295,904,20110614,4,15,13,26,21,3,1,14,27,1,0,0,0,1,0,2,1,0,1,0,0,1,0,2,0,0,1
296,905,20110621,19,15,16,31,42,17,37,39,44,1,1,0,0,1,1,1,2,0,2,2,1,1,2,0,2,2,2
297,906,20110628,28,16,23,20,35,3,27,33,17,1,1,1,1,2,1,2,1,2,2,0,0,0,1,0,2,2,1
298,907,20110705,20,29,28,34,40,6,33,21,8,2,1,2,1,1,1,1,2,1,2,0,0,0,2,0,1,2,0
299,908,20110712,8,21,7,16,35,24,27,33,5,2,0,0,1,1,0,1,1,2,2,0,1,0,1,0,2,2,0
300,909,20110719,27,24,5,34,20,9,8,7,23,0,1,0,1,2,0,1,2,2,1,0,0,2,0,1,0,2,1
301,910,20110726,41,21,10,27,35,45,23,39,37,2,2,0,1,1,0,0,1,2,2,0,2,2,1,0,2,1,2
302,911,20110802,42,2,4,20,29,27,25,32,17,0,2,2,0,1,0,2,1,2,1,0,1,1,1,2,2,2,1
303,912,20110809,33,39,29,27,14,6,26,23,30,0,2,0,2,2,1,0,1,2,0,0,0,2,1,2,1,0,1
304,913,20110816,5,24,25,18,22,39,41,16,6,2,0,0,1,1,1,0,1,1,1,0,2,2,2,1,1,0,0
305,914,20110823,9,12,39,26,18,27,7,8,30,0,0,0,0,0,2,2,1,0,1,0,1,1,0,2,0,0,1
306,915,20110830,41,4,22,16,28,8,34,13,20,2,2,1,0,1,1,1,1,1,1,2,0,1,2,1,0,2,1
307,916,20110906,20,2,27,44,16,5,40,22,31,2,1,2,0,0,1,2,2,1,1,2,0,1,2,1,1,1,2
308,917,20110913,31,24,38,37,6,20,18,21,8,1,2,0,1,2,2,1,2,0,0,2,1,0,1,0,1,2,0
309,918,20110920,4,17,29,1,27,19,22,8,28,1,0,2,1,2,1,1,0,0,1,1,1,1,1,2,0,1,1
310,919,20110927,15,26,32,34,21,40,23,37,22,0,0,2,1,2,2,1,2,0,1,1,2,2,1,1,2,1,1
311,920,20111004,9,2,19,42,1,36,25,5,6,0,0,2,0,1,1,0,2,1,0,0,2,1,1,2,0,0,0
312,921,20111011,39,32,8,25,12,6,44,41,10,0,2,2,2,2,0,1,1,0,0,0,0,2,2,2,2,1,0
313,922,20111018,45,6,10,43,16,15,36,44,9,0,2,0,0,1,0,1,2,1,1,0,0,0,2,2,2,0,0
314,923,20111025,29,33,16,36,34,35,3,14,31,2,1,0,2,1,1,0,2,1,2,2,2,0,0,2,0,1,2
315,924,20111101,23,17,44,25,31,5,12,19,13,2,1,2,1,2,2,1,1,1,2,2,0,0,0,1,1,1,0
316,925,20111108,3,6,1,18,34,21,15,12,28,0,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0,1,1
317,926,20111115,9,6,22,20,28,8,7,29,39,0,0,0,0,1,1,2,1,1,1,2,0,1,0,2,1,0,2
318,927,20111122,11,25,5,21,16,10,37,39,12,2,0,1,1,2,0,0,1,1,1,1,0,1,2,0,2,0,0
319,928,20111129,34,12,9,15,6,33,5,1,4,1,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0
320,929,20111206,8,2,29,33,30,24,12,17,11,2,0,2,0,2,1,0,2,0,1,0,1,0,0,2,1,2,0
321,930,20111213,18,45,21,25,11,29,42,23,40,0,1,0,2,0,1,1,1,2,0,2,1,0,2,2,1,1,2
322,931,20111220,40,8,36,29,7,9,21,32,10,1,2,2,0,0,2,2,1,1,0,0,0,0,1,2,2,1,0
323,932,20111227,9,20,12,6,38,35,18,13,41,0,0,2,1,0,0,0,0,2,2,2,2,0,1,1,0,2,2
324,933,20120103,22,35,42,1,31,39,34,6,43,1,1,2,2,0,2,1,0,1,2,0,2,1,2,0,0,1,2
325,934,20120110,6,44,37,5,39,8,7,33,40,0,0,2,2,1,2,2,0,0,2,2,0,1,0,0,2,1,2
326,935,20120117,31,11,5,7,13,32,2,27,21,1,2,2,0,2,0,1,0,1,0,2,2,2,0,0,1,0,1
327,936,20120124,40,29,27,13,44,12,10,15,18,1,2,2,1,0,1,1,0,2,2,0,0,1,0,0,0,0,1
328,937,20120131,12,39,9,14,32,1,18,25,11,0,0,0,2,0,0,2,0,2,2,1,0,0,1,1,1,2,0
329,938,20120207,33,5,1,20,25,39,21,29,41,0,2,2,0,1,0,2,1,1,1,0,2,0,1,2,1,2,2
330,939,20120214,7,10,27,31,43,23,25,20,34,1,0,1,0,0,1,1,2,1,2,2,1,1,1,2,1,1,2
331,940,20120221,13,19,41,31,45,6,14,9,28,1,0,1,1,2,2,1,2,0,2,0,0,2,0,0,0,1,1
332,941,20120228,30,8,43,12,17,5,28,25,31,0,1,2,0,1,2,0,0,2,1,2,0,1,1,1,1,1,2
333,942,20120306,21,41,32,5,15,29,7,37,36,0,1,2,2,2,2,2,0,0,0,2,1,1,0,1,2,0,2
334,943,20120313,23,26,3,42,32,33,29,13,36,2,1,2,1,0,0,0,2,2,2,0,2,2,1,1,0,0,2
335,944,20120320,23,3,15,34,40,5,22,26,2,2,1,0,0,0,0,1,2,1,2,2,0,1,1,2,1,2,0
336,945,20120327,17,11,24,15,3,18,39,34,23,2,1,2,0,0,1,0,0,0,0,0,1,0,2,1,2,2,1
337,946,20120403,21,36,7,10,44,19,27,2,8,0,1,0,2,1,0,1,0,2,2,1,1,0,1,2,0,2,0
338,947,20120410,36,35,45,42,15,22,6,10,23,0,2,2,2,0,2,0,2,0,0,1,1,0,0,1,0,2,1
339,948,20120417,21,38,24,40,35,9,27,30,39,0,1,2,2,0,1,1,2,2,2,0,0,0,1,0,1,0,2
340,949,20120424,27,45,19,16,6,11,4,13,43,0,1,0,2,1,1,1,1,0,0,2,0,1,0,1,0,1,2
341,950,20120501,6,2,37,34,36,25,29,3,8,0,0,2,0,1,2,1,2,0,2,1,1,2,1,0,0,2,0
342,951,20120508,17,8,28,34,41,42,6,4,19,2,1,2,0,1,1,1,2,2,2,0,2,0,0,1,0,1,1
343,952,20120515,45,38,10,14,7,19,17,20,25,0,2,2,2,1,0,2,0,1,0,1,1,2,1,2,1,1,1
344,953,20120522,14,6,45,22,33,12,38,19,13,2,0,0,0,0,2,1,1,0,2,0,0,2,2,1,1,1,0
345,954,20120529,35,11,45,37,3,43,29,5,24,2,2,2,0,0,2,1,2,0,0,1,2,2,1,2,0,0,1
346,955,20120605,37,12,1,44,34,33,30,27,38,1,2,0,0,1,0,2,2,1,2,0,2,0,1,0,1,2,2
347,956,20120612,10,8,42,26,45,33,7,30,37,1,0,2,0,0,2,2,1,0,2,0,2,1,0,0,1,1,2
348,957,20120619,16,4,1,2,31,39,10,18,21,1,1,1,0,1,0,2,0,1,2,0,2,1,0,0,1,0,1
349,958,20120626,7,11,19,17,25,43,1,14,21,1,0,2,0,1,1,2,1,1,1,1,2,1,0,2,0,0,1
350,959,20120703,32,34,21,28,19,24,45,16,18,2,2,1,2,0,1,1,1,1,1,0,1,0,2,1,1,0,1
351,960,20120710,20,19,37,40,1,9,4,7,24,2,1,1,1,1,2,1,2,1,0,0,0,1,0,1,0,0,1
